id,name,sequence,description
78,Education by language,780,Wikipedia category name (en): Education by language
79,Education by location,790,Wikipedia category name (en): Education by location
80,Education by method,800,Wikipedia category name (en): Education by method
81,Education by populated place,810,Wikipedia category name (en): Education by populated place
82,Education by region,820,Wikipedia category name (en): Education by region
83,Education by religious affiliation,830,Wikipedia category name (en): Education by religious affiliation
84,Education by second-level administrative country subdivision,840,Wikipedia category name (en): Education by second-level administrative country subdivision
85,Education by state with limited recognition,850,Wikipedia category name (en): Education by state with limited recognition
86,Education by subject,860,Wikipedia category name (en): Education by subject
87,Education by subject and country,870,Wikipedia category name (en): Education by subject and country
88,Education by year,880,Wikipedia category name (en): Education by year
89,Education case law,890,Wikipedia category name (en): Education case law
90,Education case law in Canada,900,Wikipedia category name (en): Education case law in Canada
91,Education category header templates,910,Wikipedia category name (en): Education category header templates
92,Education chronology category header templates,920,Wikipedia category name (en): Education chronology category header templates
93,Education companies,930,Wikipedia category name (en): Education companies
94,Education companies based in Tokyo,940,Wikipedia category name (en): Education companies based in Tokyo
95,Education companies by century of establishment,950,Wikipedia category name (en): Education companies by century of establishment
96,Education companies by continent,960,Wikipedia category name (en): Education companies by continent
97,Education companies by country,970,Wikipedia category name (en): Education companies by country
98,Education companies by decade of establishment,980,Wikipedia category name (en): Education companies by decade of establishment
99,Education companies by time,990,Wikipedia category name (en): Education companies by time
100,Education companies by year of disestablishment,1000,Wikipedia category name (en): Education companies by year of disestablishment
101,Education companies by year of establishment,1010,Wikipedia category name (en): Education companies by year of establishment
102,Education companies disestablished in 2018,1020,Wikipedia category name (en): Education companies disestablished in 2018
103,Education companies established in 1878,1030,Wikipedia category name (en): Education companies established in 1878
104,Education companies established in 1880,1040,Wikipedia category name (en): Education companies established in 1880
105,Education companies established in 1888,1050,Wikipedia category name (en): Education companies established in 1888
106,Education companies established in 1911,1060,Wikipedia category name (en): Education companies established in 1911
107,Education companies established in 1914,1070,Wikipedia category name (en): Education companies established in 1914
108,Education companies established in 1920,1080,Wikipedia category name (en): Education companies established in 1920
109,Education companies established in 1929,1090,Wikipedia category name (en): Education companies established in 1929
110,Education companies established in 1931,1100,Wikipedia category name (en): Education companies established in 1931
111,Education companies established in 1938,1110,Wikipedia category name (en): Education companies established in 1938
112,Education companies established in 1946,1120,Wikipedia category name (en): Education companies established in 1946
113,Education companies established in 1947,1130,Wikipedia category name (en): Education companies established in 1947
114,Education companies established in 1948,1140,Wikipedia category name (en): Education companies established in 1948
115,Education companies established in 1954,1150,Wikipedia category name (en): Education companies established in 1954
116,Education companies established in 1955,1160,Wikipedia category name (en): Education companies established in 1955
117,Education companies established in 1958,1170,Wikipedia category name (en): Education companies established in 1958
118,Education companies established in 1961,1180,Wikipedia category name (en): Education companies established in 1961
119,Education companies established in 1962,1190,Wikipedia category name (en): Education companies established in 1962
120,Education companies established in 1964,1200,Wikipedia category name (en): Education companies established in 1964
121,Education companies established in 1965,1210,Wikipedia category name (en): Education companies established in 1965
122,Education companies established in 1966,1220,Wikipedia category name (en): Education companies established in 1966
123,Education companies established in 1967,1230,Wikipedia category name (en): Education companies established in 1967
124,Education companies established in 1969,1240,Wikipedia category name (en): Education companies established in 1969
125,Education companies established in 1971,1250,Wikipedia category name (en): Education companies established in 1971
126,Education companies established in 1972,1260,Wikipedia category name (en): Education companies established in 1972
127,Education companies established in 1973,1270,Wikipedia category name (en): Education companies established in 1973
128,Education companies established in 1974,1280,Wikipedia category name (en): Education companies established in 1974
129,Education companies established in 1976,1290,Wikipedia category name (en): Education companies established in 1976
130,Education companies established in 1977,1300,Wikipedia category name (en): Education companies established in 1977
131,Education companies established in 1979,1310,Wikipedia category name (en): Education companies established in 1979
132,Education companies established in 1981,1320,Wikipedia category name (en): Education companies established in 1981
133,Education companies established in 1983,1330,Wikipedia category name (en): Education companies established in 1983
134,Education companies established in 1986,1340,Wikipedia category name (en): Education companies established in 1986
135,Education companies established in 1987,1350,Wikipedia category name (en): Education companies established in 1987
136,Education companies established in 1990,1360,Wikipedia category name (en): Education companies established in 1990
137,Education companies established in 1991,1370,Wikipedia category name (en): Education companies established in 1991
138,Education companies established in 1992,1380,Wikipedia category name (en): Education companies established in 1992
139,Education companies established in 1993,1390,Wikipedia category name (en): Education companies established in 1993
140,Education companies established in 1994,1400,Wikipedia category name (en): Education companies established in 1994
141,Education companies established in 1995,1410,Wikipedia category name (en): Education companies established in 1995
142,Education companies established in 1996,1420,Wikipedia category name (en): Education companies established in 1996
143,Education companies established in 1997,1430,Wikipedia category name (en): Education companies established in 1997
144,Education companies established in 1998,1440,Wikipedia category name (en): Education companies established in 1998
145,Education companies established in 1999,1450,Wikipedia category name (en): Education companies established in 1999
146,Education companies established in 2000,1460,Wikipedia category name (en): Education companies established in 2000
147,Education companies established in 2001,1470,Wikipedia category name (en): Education companies established in 2001
148,Education companies established in 2002,1480,Wikipedia category name (en): Education companies established in 2002
149,Education companies established in 2003,1490,Wikipedia category name (en): Education companies established in 2003
150,Education companies established in 2004,1500,Wikipedia category name (en): Education companies established in 2004
151,Education companies established in 2005,1510,Wikipedia category name (en): Education companies established in 2005
152,Education companies established in 2006,1520,Wikipedia category name (en): Education companies established in 2006
153,Education companies established in 2007,1530,Wikipedia category name (en): Education companies established in 2007
154,Education companies established in 2008,1540,Wikipedia category name (en): Education companies established in 2008
155,Education companies established in 2009,1550,Wikipedia category name (en): Education companies established in 2009
156,Education companies established in 2010,1560,Wikipedia category name (en): Education companies established in 2010
157,Education companies established in 2011,1570,Wikipedia category name (en): Education companies established in 2011
158,Education companies established in 2012,1580,Wikipedia category name (en): Education companies established in 2012
159,Education companies established in 2013,1590,Wikipedia category name (en): Education companies established in 2013
160,Education companies established in 2014,1600,Wikipedia category name (en): Education companies established in 2014
161,Education companies established in 2015,1610,Wikipedia category name (en): Education companies established in 2015
162,Education companies established in 2018,1620,Wikipedia category name (en): Education companies established in 2018
163,Education companies established in the 1870s,1630,Wikipedia category name (en): Education companies established in the 1870s
164,Education companies established in the 1880s,1640,Wikipedia category name (en): Education companies established in the 1880s
165,Education companies established in the 1910s,1650,Wikipedia category name (en): Education companies established in the 1910s
166,Education companies established in the 1920s,1660,Wikipedia category name (en): Education companies established in the 1920s
167,Education companies established in the 1930s,1670,Wikipedia category name (en): Education companies established in the 1930s
168,Education companies established in the 1940s,1680,Wikipedia category name (en): Education companies established in the 1940s
169,Education companies established in the 1950s,1690,Wikipedia category name (en): Education companies established in the 1950s
170,Education companies established in the 1960s,1700,Wikipedia category name (en): Education companies established in the 1960s
171,Education companies established in the 1970s,1710,Wikipedia category name (en): Education companies established in the 1970s
172,Education companies established in the 1980s,1720,Wikipedia category name (en): Education companies established in the 1980s
173,Education companies established in the 1990s,1730,Wikipedia category name (en): Education companies established in the 1990s
174,Education companies established in the 19th century,1740,Wikipedia category name (en): Education companies established in the 19th century
175,Education companies established in the 2000s,1750,Wikipedia category name (en): Education companies established in the 2000s
176,Education companies established in the 2010s,1760,Wikipedia category name (en): Education companies established in the 2010s
177,Education companies established in the 20th century,1770,Wikipedia category name (en): Education companies established in the 20th century
178,Education companies established in the 21st century,1780,Wikipedia category name (en): Education companies established in the 21st century
179,Education companies of Asia,1790,Wikipedia category name (en): Education companies of Asia
180,Education companies of Australia,1800,Wikipedia category name (en): Education companies of Australia
181,Education companies of Brazil,1810,Wikipedia category name (en): Education companies of Brazil
182,Education companies of Canada,1820,Wikipedia category name (en): Education companies of Canada
183,Education companies of China,1830,Wikipedia category name (en): Education companies of China
184,Education companies of Denmark,1840,Wikipedia category name (en): Education companies of Denmark
185,Education companies of Europe,1850,Wikipedia category name (en): Education companies of Europe
186,Education companies of France,1860,Wikipedia category name (en): Education companies of France
187,Education companies of Ghana,1870,Wikipedia category name (en): Education companies of Ghana
188,Education companies of Hong Kong,1880,Wikipedia category name (en): Education companies of Hong Kong
189,Education companies of Hungary,1890,Wikipedia category name (en): Education companies of Hungary
190,Education companies of India,1900,Wikipedia category name (en): Education companies of India
191,Education companies of Indonesia,1910,Wikipedia category name (en): Education companies of Indonesia
192,Education companies of Japan,1920,Wikipedia category name (en): Education companies of Japan
193,Education companies of Kenya,1930,Wikipedia category name (en): Education companies of Kenya
194,Education companies of Malaysia,1940,Wikipedia category name (en): Education companies of Malaysia
195,Education companies of Morocco,1950,Wikipedia category name (en): Education companies of Morocco
196,Education companies of New Zealand,1960,Wikipedia category name (en): Education companies of New Zealand
197,Education companies of North America,1970,Wikipedia category name (en): Education companies of North America
198,Education companies of Poland,1980,Wikipedia category name (en): Education companies of Poland
199,Education companies of Singapore,1990,Wikipedia category name (en): Education companies of Singapore
200,Education companies of South Africa,2000,Wikipedia category name (en): Education companies of South Africa
